imagen,estado,portada,kb,calidad_jpg
images/pesca-y-caza/senuelos-poseidon/copper-black.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_copper-black-png.jpg,96.8,92
images/pesca-y-caza/senuelos-poseidon/file-00000000005c720e94c5476d30e6fd59.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_file-00000000005c720e94c5476d30e6fd59.jpg,130.4,80
images/pesca-y-caza/senuelos-poseidon/file-000000002a5c720e8646b756c1442281.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_file-000000002a5c720e8646b756c1442281.jpg,123.7,80
images/pesca-y-caza/senuelos-poseidon/fire-tiger-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_fire-tiger-1.jpg,104.3,92
images/pesca-y-caza/senuelos-poseidon/fire-tiger.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_fire-tiger-jpg.jpg,100.4,92
images/pesca-y-caza/senuelos-poseidon/fire-tiger.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_fire-tiger-png.jpg,103.8,92
images/pesca-y-caza/senuelos-poseidon/fire-trout-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_fire-trout-1.jpg,115.0,92
images/pesca-y-caza/senuelos-poseidon/fire-trout.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_fire-trout-jpg.jpg,116.7,92
images/pesca-y-caza/senuelos-poseidon/fire-trout.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_fire-trout-png.jpg,103.2,92
images/pesca-y-caza/senuelos-poseidon/hot-pink-blue-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_hot-pink-blue-1.jpg,102.8,92
images/pesca-y-caza/senuelos-poseidon/hot-pink-blue.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_hot-pink-blue-jpg.jpg,113.4,92
images/pesca-y-caza/senuelos-poseidon/hot-pink-blue.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_hot-pink-blue-png.jpg,117.0,92
images/pesca-y-caza/senuelos-poseidon/natural-trout-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_natural-trout-1.jpg,92.4,92
images/pesca-y-caza/senuelos-poseidon/natural-trout.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_natural-trout-jpg.jpg,107.3,92
images/pesca-y-caza/senuelos-poseidon/natural-trout.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_natural-trout-png.jpg,108.6,92
images/pesca-y-caza/senuelos-poseidon/orange-silver-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_orange-silver-1.jpg,110.0,92
images/pesca-y-caza/senuelos-poseidon/orange-silver.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_orange-silver-jpg.jpg,129.2,92
images/pesca-y-caza/senuelos-poseidon/orange-silver.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_orange-silver-png.jpg,131.6,92
images/pesca-y-caza/senuelos-poseidon/orange-silver10gr.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_orange-silver10gr.jpg,108.9,92
images/pesca-y-caza/senuelos-poseidon/pack-5-10gr-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_pack-5-10gr-1.jpg,125.3,80
images/pesca-y-caza/senuelos-poseidon/pack-5-8gr.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_pack-5-8gr.jpg,128.8,80
images/pesca-y-caza/senuelos-poseidon/pink-brown-trout-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_pink-brown-trout-1.jpg,104.9,92
images/pesca-y-caza/senuelos-poseidon/pink-brown-trout.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_pink-brown-trout.jpg,139.4,92
